CPF,"Data de Nascimento",Score,"Limite de Crédito"
"710.483.880-50","29/07/1997",720,5000.00
"529.982.247-25","15/03/1988",480,1500.00
"168.995.350-09","02/11/2000",860,12000.00
"306.580.380-10","12/04/2001",610,3500.00
"381.935.830-78","23/09/2002",790,7000.00
"771.575.040-90","05/01/2004",880,15000.00
"072.040.390-17","18/06/2005",420,2000.00
"777.927.220-66","30/11/2003",275,800.00
"272.714.520-95","14/02/1996",940,18000.00
"123.456.789-09","29/07/1997",720,5000.00
"935.411.347-80","29/07/1997",720,5000.00
"390.533.447-05","29/07/1997",720,5000.00
